Id,Label,generation 0,generation 1,generation 2,generation
266,CASE OF HENAF v. FRANCE,False,False,True,2
267,CASE OF DEL RÍO PRADA v. SPAIN,False,False,True,2
268,CASE OF B. v. FRANCE,False,False,True,2
269,CASE OF ANANYEV AND OTHERS v. RUSSIA,False,False,True,2
270,CASE OF STEC AND OTHERS v. THE UNITED KINGDOM,False,True,False,1
271,CASE OF BOUILLY v. FRANCE,False,False,True,2
272,CASE OF KOLANIS v. THE UNITED KINGDOM,False,False,True,2
273,CASE OF MARC BRAUER v. GERMANY,False,False,True,2
274,CASE OF QUFAJ CO. SH.P.K. v. ALBANIA,False,False,True,2
275,CASE OF BURDEN v. THE UNITED KINGDOM,False,True,False,1
276,CASE OF KORNEYKOVA v. UKRAINE,False,False,True,2
277,CASE OF KOZAK v. POLAND,True,False,False,0
278,CASE OF BUCHBERGER v. AUSTRIA,False,False,True,2
279,CASE OF  GONGADZE v. UKRAINE,False,False,True,2
280,CASE OF HOPPE v. GERMANY,False,True,False,1
281,CASE OF VALASINAS v. LITHUANIA,False,False,True,2
282,CASE OF MICHELIOUDAKIS v. GREECE,False,False,True,2
283,CASE OF LIBERTY AND OTHERS v. THE UNITED KINGDOM,False,False,True,2
284,CASE OF RAISA TARASENKO v. UKRAINE,False,False,True,2
285,CASE OF ROCHE v. THE UNITED KINGDOM,False,True,False,1
286,CASE OF SHVIDKIYE v. RUSSIA,True,False,False,0
287,CASE OF SHARXHI AND OTHERS v. ALBANIA,True,False,False,0
288,CASE OF EMRE v. SWITZERLAND (No. 2) [Extracts],False,False,True,2
289,CASE OF KANAYEV v. RUSSIA,False,False,True,2
290,CASE OF KUCERA v. SLOVAKIA,False,False,True,2
291,CASE OF PARADISO AND CAMPANELLI v. ITALY,False,True,False,1
292,CASE OF STAYKOV v. BULGARIA,False,False,True,2
293,CASE OF VINCIC AND OTHERS v. SERBIA,False,True,False,1
294,CASE OF ZVOLSKÝ AND ZVOLSKÁ v. THE CZECH REPUBLIC,False,True,False,1
295,CASE OF IMBRIOSCIA v. SWITZERLAND,False,False,True,2
296,CASE OF ZAWADZKI v. POLAND,False,False,True,2
297,CASE OF PADOVANI v. ITALY,False,False,True,2
298,CASE OF DEBELIANOVI v. BULGARIA,False,False,True,2
299,CASE OF SAVULESCU v. ROMANIA,False,False,True,2
300,CASE OF GIUSEPPE TRIPODI v. ITALY,False,False,True,2
301,CASE OF TRÉVALEC v. BELGIUM,False,False,True,2
302,CASE OF GARYCKI v. POLAND,False,False,True,2
303,CASE OF SHPAKOVSKIY v. RUSSIA,False,True,False,1
304,CASE OF AMANN v. SWITZERLAND,False,False,True,2
305,CASE OF ANGELOVA AND ILIEV v. BULGARIA,False,True,False,1
306,CASE OF FLORIN IONESCU v. ROMANIA,False,True,False,1
307,CASE OF SOCIALIST PARTY AND OTHERS v. TURKEY,False,False,True,2
308,CASE OF HASHMAN AND HARRUP v. THE UNITED KINGDOM,False,False,True,2
309,CASE OF MISHGJONI v. ALBANIA,False,False,True,2
310,CASE OF HIRVISAARI v. FINLAND,False,False,True,2
311,CASE OF GARIB v. THE NETHERLANDS,False,True,False,1
312,CASE OF BAZORKINA v. RUSSIA,False,False,True,2
313,CASE OF MULLER v. FRANCE,False,False,True,2
314,CASE OF D.H. AND OTHERS v. THE CZECH REPUBLIC,False,True,False,1
315,CASE OF HENRIOUD v. FRANCE,False,False,True,2
316,CASE OF STRETCH v. THE UNITED KINGDOM,False,True,False,1
317,CASE OF WASSINK v. THE NETHERLANDS,False,False,True,2
318,CASE OF PHOCAS v. FRANCE,False,False,True,2
319,CASE OF BELCHEV v. BULGARIA,False,False,True,2
320,CASE OF STASAITIS v. LITHUANIA,False,False,True,2
321,CASE OF WOMEN ON WAVES AND OTHERS v. PORTUGAL,False,False,True,2
322,CASE OF KEARNS v. FRANCE,False,False,True,2
323,CASE OF TOTH v. AUSTRIA,False,True,False,1
324,CASE OF NEVES E SILVA v. PORTUGAL,False,False,True,2
325,CASE OF LEMO AND OTHERS v. CROATIA,True,True,False,0-1
326,CASE OF ZAPPIA v. ITALY,False,False,True,2
327,CASE OF GUTU v. MOLDOVA,False,False,True,2
328,CASE OF MUÑOZ DÍAZ v. SPAIN,False,False,True,2
329,CASE OF SMIRNITSKAYA AND OTHERS v. RUSSIA,False,False,True,2
330,CASE OF H. v. FRANCE,False,False,True,2
331,CASE OF KUDLA v. POLAND,False,True,False,1
332,CASE OF DIAMANTE AND PELLICCIONI v. SAN MARINO,False,False,True,2
333,CASE OF SOARE v. ROMANIA,False,False,True,2
334,CASE OF ALGÜR v. TURKEY,False,False,True,2
335,CASE OF GERASIMOV AND OTHERS v. RUSSIA,False,False,True,2
336,CASE OF VAN DROOGENBROECK v. BELGIUM (ARTICLE 50),False,True,False,1
337,CASE OF CAZENAVE DE LA ROCHE v. FRANCE,False,False,True,2
338,CASE OF BEKIRSKI v. BULGARIA,False,False,True,2
339,CASE OF MEDENICA v. SWITZERLAND,False,False,True,2
340,CASE OF Z v. FINLAND,False,False,True,2
341,CASE OF SÜRMELI v. GERMANY,False,False,True,2
342,CASE OF MOUISEL v. FRANCE,False,False,True,2
343,CASE OF BROSSET-TRIBOULET AND OTHERS v. FRANCE,False,False,True,2
344,CASE OF VAN HOUTEN v. THE NETHERLANDS,False,True,False,1
345,CASE OF SCOLLO v. ITALY,False,True,False,1
346,CASE OF MOSER v. AUSTRIA,False,False,True,2
347,CASE OF POPOV v. MOLDOVA (No. 2),False,True,False,1
348,CASE OF SALABIAKU v. FRANCE,False,False,True,2
349,CASE OF L.C.B. v. THE UNITED KINGDOM,False,False,True,2
350,CASE OF PROTSENKO v. RUSSIA,False,True,False,1
351,CASE OF CHERVENKOV v. BULGARIA,False,False,True,2
352,CASE OF PUKHIGOVA v. RUSSIA,False,False,True,2
353,CASE OF GASKIN v. THE UNITED KINGDOM,False,False,True,2
354,CASE OF PLAKSIN v. RUSSIA,False,False,True,2
355,CASE OF COYNE v. THE UNITED KINGDOM,False,False,True,2
356,CASE OF SOCIETE DE GESTION DU PORT DE CAMPOLORO v. FRANCE,False,False,True,2
357,CASE OF GALSTYAN v. ARMENIA,False,False,True,2
358,CASE OF IVANOVA v. BULGARIA,False,False,True,2
359,CASE OF HASAN İLHAN v. TURKEY,True,False,False,0
360,CASE OF VASYLYEV v. UKRAINE,False,False,True,2
361,CASE OF STUBING v. GERMANY,False,False,True,2
362,CASE OF GATT v. MALTA,False,False,True,2
363,CASE OF CASADO COCA v. SPAIN,False,False,True,2
364,CASE OF MENESHEVA v. RUSSIA,False,False,True,2
365,CASE OF GOYGOVA v. RUSSIA,False,False,True,2
366,CASE OF MENGESHA KIMFE v. SWITZERLAND,False,False,True,2
367,CASE OF YELOYEV v. UKRAINE,False,False,True,2
